AL_TCDD_F_Bl_adt	BA_BPA10mg_F_Bl_adt	BA_BPA10ug_F_Bl_adt	BI_PM2.5_F_Bl_adt	DO_Pb_F_Bl_adt	DO_DEHP_F_Bl_adt	MU_PM2.5_F_Bl_adt	ZB_As_F_Bl_adt	WK_TBT_F_Bl_adt
Ube2h	0	0	0	0	0	0	0	0	0.683940717665712
Ankrd26	0	0	0	0	0	0	0	0	0.68363245182439
Baz2a	0	0	0	0	0	0	0	0	0.683400209454312
Zfpm1	0	0	0	0	0	0	0	0	0.6828111088179
Rock1	0	0	0	0	0	0	0	0	0.681371220572018
Mrpl32	0	0	0	0	0	0	0	0	0.679530126707161
Cops2	0	0	0	0	0	0	0	0	0.677858616669269
Ppp2r2a	0	0	0	0	0	0	0	0	0.677455555744299
A630089N07Rik	0	0	0	0	0	0	0	0	0.676873762227828
Smg6	0	0	0	0	0	0	0	0	0.676863767818671
Synj1	0	0	0	0	0	0	0	0	0.676690757120395
Ikzf5	0	0	0	0	0	0	0	0	0.676564070540437
Rb1cc1	0	0	0	0	0	0	0	0	0.676329016262583
Phactr4	0	0	0	0	0	0	0	0	0.675107360572571
Ube3a	0	0	0	0	0	0	0	0	0.674614453472358
Eif2ak2	0	0	0	0	0	0	0	0	0.674506357249314
Nsd3	0	0	0	0	0	0	0	0	0.673368083893366
Tlr9	0	0	0	0	0	0	0	0	0.670297292128622
Rtf1	0	0	0	0	0	0	0	0	0.670112406838185
Cln8	0	0	0	0	0	0	0	0	0.66937463462128
Cd2ap	0	0	0	0	0	0	0	0	0.668821520318731
Zcchc7	0	0	0	0	0	0	0	0	0.668718086336876
Psme4	0	0	0	0	0	0	0	0	0.667850203173571
Xkrx	0	0	0	0	0	0	0	0	0.665927009052312
Zc3h13	0	0	0	0	0	0	0	0	0.665605857744963
Slc25a27	0	0	0	0	0	0	0	0	0.665513498524169
Sec24a	0	0	0	0	0	0	0	0	0.664970717337504
Ankrd17	0	0	0	0	0	0	0	0	0.66429805425118
Kmt2e	0	0	0	0	0	0	0	0	0.662163692721387
Rere	0	0	0	0	0	0	0	0	0.662055811037606
Igip	0	0	0	0	0	0	0	0	0.661439615066965
Scaf4	0	0	0	0	0	0	0	0	0.661251207605192
Rprd2	0	0	0	0	0	0	0	0	0.660833113805551
Map3k20	0	0	0	0	0	0	0	0	0.659597388320648
Sestd1	0	0	0	0	0	0	0	0	0.658900812439969
Rpgrip1	0	0	0	0	0	0	0	0	0.658368173976417
Dnajb14	0	0	0	0	0	0	0	0	0.656488027070913
Sik2	0	0	0	0	0	0	0	0	0.65620868485793
Naip6	0	0	0	0	0	0	0	0	0.655976909739625
Mirt1	0	0	0	0	0	0	0	0	0.654768037334689
Fn3krp	0	0	0	0	0	0	0	0	0.654715213306791
AI606181	0	0	0	0	0	0	0	0	0.654696822341341
Nrd1	0	0	0	0	0	0	0	0	0.654585990249517
Itga5	0	0	0	0	0	0	0	0	0.65308548810545
Srrm2	0	0	0	0	0	0	0	0	0.652439653330073
Nfic	0	0	0	0	0	0	0	0	0.652039094644086
Lima1	0	0	0	0	0	0	0	0	0.651282152127416
Rc3h2	0	0	0	0	0	0	0	0	0.650351352438877
Odf2l	0	0	0	0	0	0	0	0	0.650324814228233
Phf2os1	0	0	0	0	0	0	0	0	0.650122019338894
Arhgap17	0	0	0	0	0	0	0	0	0.649485449960417
Ybey	0	0	0	0	0	0	0	0	0.648460396185108
Ncoa6	0	0	0	0	0	0	0	0	0.6475395853618
Lamb3	0	0	0	0	0	0	0	0	0.646818467796378
Upf2	0	0	0	0	0	0	0	0	0.646481828905765
Foxn3	0	0	0	0	0	0	0	0	0.645123386829057
Ppp1r15a	0	0	0	0	0	0	0	0	0.643788543476744
Trip12	0	0	0	0	0	0	0	0	0.643675554016413
1300002E11Rik	0	0	0	0	0	0	0	0	0.643616354184658
Pld1	0	0	0	0	0	0	0	0	0.64314638344556
Art4	0	0	0	0	0	0	0	0	0.642178136035934
Rab21	0	0	0	0	0	0	0	0	0.641782397663955
Tmem86b	0	0	0	0	0	0	0	0	0.641760556866144
Gapvd1	0	0	0	0	0	0	0	0	0.640858536892363
Hnrnph3	0	0	0	0	0	0	0	0	0.640349570337357
Ifi203	0	0	0	0	0	0	0	0	0.639930481101611
Brpf3	0	0	0	0	0	0	0	0	0.639842013341384
Ggps1	0	0	0	0	0	0	0	0	0.639702066458401
Ubap2	0	0	0	0	0	0	0	0	0.638886656424125
Tmem131	0	0	0	0	0	0	0	0	0.638254504267893
Ireb2	0	0	0	0	0	0	0	0	0.637479922326928
Tmx1	0	0	0	0	0	0	0	0	0.63628358888407
Tank	0	0	0	0	0	0	0	0	0.635286842733531
Ube2b	0	0	0	0	0	0	0	0	0.634797267026474
Xrn1	0	0	0	0	0	0	0	0	0.63456479136184
Phlpp2	0	0	0	0	0	0	0	0	0.6338357963173
Phka1	0	0	0	0	0	0	0	0	0.633781775051319
Rbms2	0	0	0	0	0	0	0	0	0.63318409438398
Stambp	0	0	0	0	0	0	0	0	0.633046045634449
Tcea1	0	0	0	0	0	0	0	0	0.631352149371282
Itgb3bp	0	0	0	0	0	0	0	0	0.631060184519673
Ibtk	0	0	0	0	0	0	0	0	0.630725670065581
Scrn3	0	0	0	0	0	0	0	0	0.63026728900601
Rnf114	0	0	0	0	0	0	0	0	0.630021535512619
Srcap	0	0	0	0	0	0	0	0	0.630015163889869
Cd47	0	0	0	0	0	0	0	0	0.629322584731233
C920009B18Rik	0	0	0	0	0	0	0	0	0.62860067363415
Swt1	0	0	0	0	0	0	0	0	0.628050230654175
Kif20b	0	0	0	0	0	0	0	0	0.627454082749339
Med15	0	0	0	0	0	0	0	0	0.625963842061275
2700097O09Rik	0	0	0	0	0	0	0	0	0.625040052101425
Ppp3cb	0	0	0	0	0	0	0	0	0.624288927697344
Zfp609	0	0	0	0	0	0	0	0	0.623746795668862
2700049A03Rik	0	0	0	0	0	0	0	0	0.62293040407641
Senp1	0	0	0	0	0	0	0	0	0.621884067822696
Usp14	0	0	0	0	0	0	0	0	0.620821753635583
Ubr4	0	0	0	0	0	0	0	0	0.619526381934135
BE692007	0	0	0	0	0	0	0	0	0.619445382007252
Nxpe2	0	0	0	0	0	0	0	0	0.617806823299074
Taf3	0	0	0	0	0	0	0	0	0.616939255438739
Gpbp1	0	0	0	0	0	0	0	0	0.616753468653814
Tceal8	0	0	0	0	0	0	0	0	0.616752895933292
Zfp871	0	0	0	0	0	0	0	0	0.616469055552906
Ncoa7	0	0	0	0	0	0	0	0	0.616352384104313
D1Ertd622e	0	0	0	0	0	0	0	0	0.616192328804107
Fchsd2	0	0	0	0	0	0	0	0	0.616088050976119
Mbd5	0	0	0	0	0	0	0	0	0.615430059926822
Dtx3l	0	0	0	0	0	0	0	0	0.615403661867518
Zmat1	0	0	0	0	0	0	0	0	0.614873600795378
Wipf2	0	0	0	0	0	0	0	0	0.612782680151322
Gm6563	0	0	0	0	0	0	0	0	0.612574624375626
Tram2	0	0	0	0	0	0	0	0	0.612308587872642
Qk	0	0	0	0	0	0	0	0	0.611686349199455
Rbm33	0	0	0	0	0	0	0	0	0.610708529358794
Alkbh8	0	0	0	0	0	0	0	0	0.610541922649118
Elk4	0	0	0	0	0	0	0	0	0.608735330787287
Mtmr3	0	0	0	0	0	0	0	0	0.608354865127735
Xaf1	0	0	0	0	0	0	0	0	0.608055187869831
Tut7	0	0	0	0	0	0	0	0	0.608004167137992
Pcca	0	0	0	0	0	0	0	0	0.607868291452473
Tet2	0	0	0	0	0	0	0	0	0.606546140377251
Sltm	0	0	0	0	0	0	0	0	0.605394418739686
Cdk6	0	0	0	0	0	0	0	0	0.604713445785635
Eps15	0	0	0	0	0	0	0	0	0.604621529258725
Carmil1	0	0	0	0	0	0	0	0	0.603938784989382
Zmym5	0	0	0	0	0	0	0	0	0.603323700940123
Tor1aip1	0	0	0	0	0	0	0	0	0.603116724327624
Sap130	0	0	0	0	0	0	0	0	0.602805532518372
Pds5b	0	0	0	0	0	0	0	0	0.601360585363932
Ccl25	0	0	0	0	0	0	0	0	0.601213688544914
Ctsb	0	0	0	0	0	0	0	0	0.600931722188523
Slc16a1	0	0	0	0	0	0	0	0	0.60025019595689
Nectin1	0	0	0	0	0	0	0	0	0.599565568895598
Tent2	0	0	0	0	0	0	0	0	0.598794286126234
Zfp691	0	0	0	0	0	0	0	0	0.598761387900426
Acer3	0	0	0	0	0	0	0	0	0.598375602492716
Xpo7	0	0	0	0	0	0	0	0	0.598324834740835
Ulk1	0	0	0	0	0	0	0	0	0.596873644869186
Amigo1	0	0	0	0	0	0	0	0	0.596641258971313
Hmbox1	0	0	0	0	0	0	0	0	0.596542879788761
Celf1	0	0	0	0	0	0	0	0	0.59621603995148
Rbpms	0	0	0	0	0	0	0	0	0.59561483836241
Camta2	0	0	0	0	0	0	0	0	0.59499812593246
Klf3	0	0	0	0	0	0	0	0	0.594402561790272
Lmo2	0	0	0	0	0	0	0	0	0.593819387069943
Nek7	0	0	0	0	0	0	0	0	0.593538976337068
Brcc3	0	0	0	0	0	0	0	0	0.592097862136957
Dot1l	0	0	0	0	0	0	0	0	0.59039174328952
Rc3h1	0	0	0	0	0	0	0	0	0.588816172467827
Rbm4	0	0	0	0	0	0	0	0	0.588141705662065
Hsd17b7	0	0	0	0	0	0	0	0	0.587777996696334
Eif4g2	0	0	0	0	0	0	0	0	0.585775612100455
Dennd4a	0	0	0	0	0	0	0	0	0.585623577521693
Ptger1	0	0	0	0	0	0	0	2.94689008320586	0
Ifi205	0	0	0	0	0	0	0	1.63597168263072	0
Fcgr1	0	0	0	0	0	0	0	1.6050000965256	0
Ifi211	0	0	0	0	0	0	0	1.5471093523428	0
AI839979	0	0	0	0	0	0	0	1.44103229512254	0
Gm10522	0	0	0	0	0	0	0	1.22385284309355	0
Gt(ROSA)26Sor	0	0	0	0	0	0	0	1.21691605448924	0
Clec4a2	0	0	0	0	0	0	0	1.20740335526448	0
I830127L07Rik	0	0	0	0	0	0	0	1.19944663255398	0
Gpx3	0	0	0	0	0	0	0	1.18814661136831	0
Tlr11	0	0	0	0	0	0	0	1.18568468310824	0
Ccr3	0	0	0	0	0	0	0	1.14960994846902	0
Slamf8	0	0	0	0	0	0	0	1.13076397499165	0
Ms4a6d	0	0	0	0	0	0	0	1.11850816173687	0
Klrg1	0	0	0	0	0	0	0	1.08444143413184	0
Ifi204	0	0	0	0	0	0	0	1.06157733292959	0
Tgfb3	0	0	0	0	0	0	0	1.05714443237778	0
Gm9733	0	0	0	0	0	0	0	1.05549333105215	0
Klra2	0	0	0	0	0	0	0	1.04633191611544	0
Ly6c2	0	0	0	0	0	0	0	1.03996473763459	0
D830050J10Rik	0	0	0	0	0	0	0	1.00508381753759	0
Gpr15	0	0	0	0	0	0	0	0.974155108948543	0
Mapkapk5	0	0	0	0	0	0	0	0.908208241251261	0
Gm36161	0	0	0	0	0	0	0	0.886020623044749	0
Gm9800	0	0	0	0	0	0	0	0.879268541238229	0
Emp1	0	0	0	0	0	0	0	0.878650300268714	0
Ifitm3	0	0	0	0	0	0	0	0.873121138141972	0
Tifab	0	0	0	0	0	0	0	0.872324440707469	0
Particl	0	0	0	0	0	0	0	0.846507628293139	0
Snhg3	0	0	0	0	0	0	0	0.822855174881305	0
Ppfia4	0	0	0	0	0	0	0	0.802328438993021	0
Rtp4	0	0	0	0	0	0	0	0.797361429541735	0
Ms4a4c	0	0	0	0	0	0	0	0.783646223519649	0
Id3	0	0	0	0	0	0	0	0.780613569546878	0
Slfn5	0	0	0	0	0	0	0	0.773502876331094	0
1500015A07Rik	0	0	0	0	0	0	0	0.76979712243883	0
2310010J17Rik	0	0	0	0	0	0	0	0.766246113574763	0
2610001J05Rik	0	0	0	0	0	0	0	0.748222198257227	0
Tspan6	0	0	0	0	0	0	0	0.742560593023623	0
