C1	C2	C3	C4	C5	C6	C7	C8	C9	Tested_in_clustering	Cluster_control	Cluster_Exposure_P	Cluster_Exposure_Final
1810043G02Rik	17.4779499630109	12.1619636687894	4.87529778116833	19.6088343395849	28.8016164495741	6.79533121837724	19.1405913644261	12.3067906094708	8.50157524778235	100	9	3	3
1810044D09Rik	13.8071996606236	24.8544642317564	21.8543857917754	12.0698285600743	20.0843611450385	17.3199006724901	22.245036283449	13.660908440986	13.1995790025028	100	4	4	4
1810046K07Rik	9.49375905897747	24.4784156249057	11.4125718053134	23.098411747055	42.5775739108038	4.02107484325239	33.055422450869	5.81994035440915	13.2247362490223	100	6	6	6
1810053B23Rik	3.46212103399639	32.6445985967969	23.9121138828184	13.2161634769524	31.4468242610515	12.4770724916723	32.0275556456501	5.03462261098669	13.5650158343089	100	1	1	1
1810055G02Rik	4.19884866792595	30.7927819337786	21.9730181977126	14.1128938385686	32.3090595650686	11.6064774586571	31.5493936364525	5.52602196791907	13.7924480999196	100	6	1	1
1810058I24Rik	20.2402257926396	8.95036825050783	5.53739805501675	16.7362546848566	20.1992812084297	9.23962229413567	12.6932968700896	14.8651584848405	7.26984056380311	100	6	3	3
1810059H22Rik	16.9258651206362	15.1042054587156	11.2642459113566	15.1347430449407	20.6278808200552	11.2534481223091	16.7759722822765	13.52955537464	9.65039355405531	100	9	9	9
2010001A14Rik	5.97240381183136	33.5491075280462	29.9027830933155	7.80687118690216	20.6786066512435	19.1648124457108	27.5832727234395	9.22368193880332	14.6580529626675	100	4	1	1
2010003K11Rik	24.9348805956631	11.2485456875737	11.3303230254883	16.6077136203709	12.8002277065119	15.1257249838624	9.82628872048103	19.5767662277558	9.54983379120839	100	3	3	9
2010111I01Rik	6.24182853962317	31.7896933443214	25.715473829916	11.3895541591254	27.1849200732326	16.4556005667794	29.937125675137	8.87142555565908	14.9356489035184	100	1	1	1
2010315B03Rik	18.0792511002486	25.5441571948324	25.0471388931509	12.8693210622538	16.8624145120071	21.468248021305	20.725649449428	17.9557297327212	15.4526603396305	100	5	4	4
2010320M18Rik	9.16549591273071	33.0610077406235	30.694363162196	8.65281575802217	19.0973808860092	21.2836049139176	26.680932359086	12.3180621953522	16.2931577426481	100	4	4	4
2200002D01Rik	25.3414011759553	11.3728013914858	12.8595372129329	15.4779248248457	8.9951738723305	15.9991785987919	7.6911505237604	19.9348343866495	9.45058288543155	100	7	7	7
2210016F16Rik	18.3768844708785	9.4853182612017	6.0080892582645	15.1363054740977	18.7566699141927	8.63367621841499	12.4624942095716	13.3853250082613	6.67413354971613	100	3	3	3
2210016L21Rik	5.99893724359051	31.6232325814638	19.7474590472925	20.5937222304052	40.8472145992957	8.24482257132097	35.8485235370983	4.96683991004195	15.5208558138378	100	1	8	8
2210039B01Rik	21.4257496646731	22.1823635448962	22.4948765819567	13.6824289653553	13.4053471576962	20.9577353285626	16.8804668706411	19.5974031191816	14.0298803175781	100	5	5	5
2210408F21Rik	19.2537000180878	21.9588788701387	22.9124785738084	12.0696197778012	11.1439854849704	20.2116651828521	15.4547544946217	17.7823053219061	13.3443023783819	100	9	9	9
2210408I21Rik	22.5828456309315	18.377738216168	18.4464971354397	14.7569963098904	14.1968265443805	18.906121172612	14.9026113210333	19.5500058673022	12.3839565647925	100	9	9	9
2210417A02Rik	29.2592373945485	7.6944317631506	8.27459449861911	19.7329423683992	15.5248496355389	15.6580158271932	8.96192220164063	22.7973206208671	10.1912757954954	100	2	2	2
2300009A05Rik	18.7917234834945	28.2563088499807	28.8610332651305	11.4898363017951	11.8559207280058	23.9501639139608	19.9315852350107	19.0385928572912	16.3157329637985	100	9	4	4
2310001H17Rik	25.2008009612415	11.9757108721593	12.9444810610083	15.930695051998	10.9564330259294	15.9932476953578	8.98899366364333	19.8958499579339	9.66240066457066	100	7	7	7
2310009A05Rik	14.5609629484401	28.7644658211374	28.4620914149158	9.12003724346899	12.4990253416316	21.4993954845726	20.5861843011147	15.2691698330408	14.5022715785785	100	5	4	4
2310009B15Rik	4.17840875966507	34.2543700073647	26.6102081646904	12.4799170122694	30.5046005233524	15.75675562857	32.8399059462784	7.15333097564212	15.4366202756175	100	4	1	1
2310010J17Rik	27.3278977815612	8.58499152487666	8.42082263849647	18.9232176604618	16.132641538355	14.6749069090934	9.83344682650063	21.168750643715	9.63862932676532	100	2	2	2
2310011J03Rik	6.05429142346639	25.6730742096095	18.2038655489874	12.5484402455424	27.8894233993568	10.3202737503957	26.6110959789267	6.152907260099	11.2411180559993	100	1	1	1
2310015A10Rik	13.3930949332026	18.8969151718221	13.403585950848	14.6014491474319	23.0357446076938	10.1857512787932	20.0715258276677	10.6270024305346	9.76757465324324	100	9	9	9
2310022A10Rik	6.62644735822683	23.5332906238375	10.4748107657723	21.7448488822081	42.0717809508998	2.65505059301593	32.1378260433846	3.8009124460488	12.3374550439184	100	6	6	6
2310022B05Rik	12.7760043070968	16.4281199192391	8.93638809547853	16.9015760363068	28.2556444169832	6.39367889769471	21.5637727099724	8.97161251180291	9.25760129486819	100	6	6	6
2310030G06Rik	8.82333556130761	19.3234159384616	8.64712745652172	18.9872566520889	35.4941940967926	3.62899041216323	26.6912140390433	5.48776935514403	10.0764142586208	100	3	6	6
2310033P09Rik	12.0537891442874	23.6845488940799	19.6160508514042	11.8693234842543	20.7855223039186	14.3835893118647	21.7269906152734	11.2141696486947	11.2647366139348	100	9	9	9
2310034O05Rik	14.8598086980825	18.6032780603042	12.5657827302152	16.1089443057004	23.8722691255577	9.85041605069314	20.2497006557924	11.2561384152381	9.66744878837644	100	8	8	9
2310039H08Rik	9.17590878487062	27.7579940152265	23.3713296314433	11.1233408255895	22.2031413717079	15.4568261310906	25.0424488223441	9.99567047047704	13.5685922905579	100	1	1	1
2310040G24Rik	15.4546391577641	22.526537460196	21.6691639236216	10.2174613799914	13.5011616193615	17.6446771579391	17.4718254906093	14.7157148500903	12.0108613845413	100	9	9	9
2310057M21Rik	6.90100292822899	22.1613665093524	15.236141515692	11.7509210264373	25.2517397568403	8.34027638931574	23.1887765411533	5.64184568741045	8.94101059747812	100	9	8	8
2310061I04Rik	8.43301913020253	21.2119893417232	8.85216206549995	21.0520866366047	39.7169085612598	2.65925474086038	29.8770415786979	4.86532138897184	11.2057005299917	100	6	6	6
2410002F23Rik	6.07254891759961	23.3389373068731	14.7878308720418	13.9002254248474	29.773150087679	7.88597608896379	26.2440217508908	5.25841730865664	10.2109969416208	100	8	8	8
2410004B18Rik	7.14264556611381	36.375263745553	30.1489386451153	12.2963325773386	28.8796814303429	19.3930656686021	33.1982672909161	10.315761001303	17.1555728001145	100	9	1	1
2410006H16Rik	7.3173796031876	37.2529441404114	32.8950237887475	10.4391001268515	23.7084904225252	21.3534059278152	31.2350079404728	11.0584799903328	17.8087750430027	100	1	1	1
2410015M20Rik	11.2549261903619	15.8056972457493	10.3365561514883	12.7613059119101	22.2298398056292	7.6378308405416	17.9967811946604	8.44284800163623	7.49982268763853	100	4	9	9
2410022M11Rik	12.1426695315291	21.5577301429727	17.6130397190448	11.739814341246	19.1513729025323	12.3247815364426	19.6338499537264	10.4488642572542	10.2592898540369	100	4	4	9
2410131K14Rik	16.3367376387846	12.6210407118303	10.3164867655163	12.6283259495218	14.9848237889271	10.210176451359	12.3989332155652	12.4140238374214	7.41948497924566	100	9	9	9
2500002B13Rik	20.3731890042897	10.6270810320142	6.97931080359023	16.9493933910617	20.80939109265	10.0836224169333	13.8612210372502	15.1373114771306	7.73878049643364	100	3	3	3
2500004C02Rik	7.91518651605352	17.2341859488242	10.3332610714185	13.3736833113263	25.7724915267775	5.92593105670831	20.4925590520107	5.76998035753543	7.96563480667402	100	9	8	6
2510002D24Rik	24.9640887048903	13.4853109242843	14.9088771803623	15.2121258321218	9.35756452477235	17.3617414677593	9.31593394336526	20.2971902996792	10.5867006943127	100	7	7	7
2510009E07Rik	7.35568079794769	22.1696283555062	11.2712731742804	18.8115943615305	36.4455283967719	3.88178316201447	28.5971554470326	4.48218747875266	11.0866869740093	100	6	6	6
2510039O18Rik	22.8364206671651	9.21160980943804	4.3661244646886	20.5626992875682	25.1813264775433	9.71102554521402	15.4201706056111	16.8188312699725	8.83766992489252	100	3	3	3
2510046G10Rik	14.939997809801	27.7059739821763	27.356858173449	9.31497445902756	12.0882767834344	20.9935374237069	19.7585964481328	15.2981894897025	13.9343688472535	100	4	4	4
2610001J05Rik	5.87462053381365	26.7805272869686	16.6054412160973	16.7930308539392	34.808070341436	7.34152046875278	30.42785094869	4.65228568406276	12.328935684136	100	8	8	8
2610002M06Rik	4.58761822063928	23.5701631669218	20.1549123171566	6.32485002576402	17.79973161741	12.539678471155	20.5304887335212	6.23771256635201	9.70635174459088	100	8	1	1
2610005L07Rik	4.45937647468602	31.2198679565678	22.2309320488593	15.0438246550673	32.5600488105845	10.8769808810067	31.6245186291924	5.04060294395562	13.8746870613072	100	9	1	8
2610008E11Rik	6.6730459921603	34.4576691411966	29.5313934202928	11.0702510263323	25.7847292896622	19.1326652863537	30.4960042908174	10.0556336808111	16.5278757270691	100	1	1	1
2610021A01Rik	6.684200494937	22.825221580935	12.1166090079895	18.4154611898634	36.133613102683	4.35580716464458	28.7501733968253	4.25481414012549	11.2392350972278	100	9	8	6
2610044O15Rik8	7.56225323163194	36.7712581686751	31.9781309629242	10.9870665007272	26.0762762336698	21.2556831288792	32.0737703479273	11.3687845133455	17.6227319766345	100	4	1	1
2610301B20Rik	8.8945586234308	17.1781242933553	10.2850397099415	14.2622125967973	24.9097243317639	4.9844522201051	20.0070200769541	5.83504350907528	8.43740259370317	100	9	6	6
2610306M01Rik	12.840736007633	32.0427552762756	30.7902277965864	9.43814793215387	15.7961843563679	22.5014279776678	24.1765192226698	14.6737656897508	15.899750577325	100	4	4	4
2610507B11Rik	25.5121913321957	7.57241256603673	6.09544412571529	19.1844019849546	17.874374658848	12.0298478779751	10.3858754188544	19.2457713357589	9.04749639773768	100	2	3	3
2610507I01Rik	16.298841223894	15.7898391836959	13.4732617472601	12.6651371741859	16.2538323574223	12.2448451603915	14.6223984182437	13.0741641472809	8.66006829060103	100	7	9	9
2610528J11Rik	5.45911468034085	23.808407093346	12.4980624047428	18.5116012626218	37.5744667163627	4.36128808333812	30.1340627440663	3.58907356714366	11.6694945725094	100	8	8	8
2700046G09Rik	5.01219337603262	29.0057439389407	24.7759413259947	8.01288136540811	20.4237839192513	15.0763293691813	24.7884557365424	7.14445507183127	12.2927620205232	100	8	1	1
2700049A03Rik	16.8680916319925	16.9521926145011	16.0855369389003	11.5529369766193	10.9857921375901	14.1759024618096	12.7618929376769	14.0063731760327	9.37055580675786	100	9	9	9
2700062C07Rik	4.51348381427106	25.5563036208578	20.8900881833906	7.78077573192314	19.7218590679386	12.0061410710587	22.4543879976992	5.57051325812147	10.068755183092	100	9	1	1
2700081O15Rik	3.29412268659791	26.7023003832086	15.6511675958364	17.1612545124196	36.44809596507	5.55337555351246	30.7933508518759	2.51916173510555	11.6216462902015	100	1	8	8
2700097O09Rik	4.57679184221053	29.1697910188973	18.1130819439684	18.3387094057322	37.784488655191	7.30548467066837	32.8552475489652	3.88214470563282	13.5136148293673	100	8	8	8
2810001G20Rik	6.08040148910797	40.2318900228328	36.4366835935783	8.97464865086589	23.8916916291317	24.0917183210187	33.0544813824038	11.4514950194153	18.8175994890692	100	1	1	1
